movie_title,content_rating,content_rating_id,genres,genres_encoded,runtime,original_release_date,tomatometer_status,tomatometer_rating,tomatometer_top_critics_count,tomatometer_fresh_critics_count,tomatometer_rotten_critics_count
Once Upon a Forest,G,0,"Action & Adventure, Animation, Kids & Family","[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",80.0,1993-06-18,Rotten,22.0,11,5,18
Once Upon a Time in America,R,3,Drama,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",139.0,1984-06-01,Certified-Fresh,87.0,13,46,7
Once Upon a Time in Anatolia,NR,5,"Art House & International, Drama","[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",157.0,2012-01-04,Certified-Fresh,92.0,26,72,6
Once Upon a Time in Brooklyn,R,3,"Action & Adventure, Drama","[1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",116.0,2013-05-03,Rotten,0.0,4,0,6
Once Upon a Time In Hollywood,R,3,"Comedy, Drama","[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",159.0,2019-07-26,Certified-Fresh,85.0,61,474,81
Once upon a Time in Mexico,R,3,"Action & Adventure, Drama","[1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",101.0,2003-09-12,Fresh,66.0,36,112,57
Once Upon a Time in the West,PG-13,2,"Action & Adventure, Drama, Western","[1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",165.0,1968-12-21,Certified-Fresh,95.0,15,61,3
Once Upon a Time in Venice,NR,5,"Action & Adventure, Comedy, Mystery & Suspense","[1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",94.0,2017-06-16,Rotten,21.0,9,8,31
Ondine,PG-13,2,"Drama, Science Fiction & Fantasy","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",110.0,2010-06-04,Fresh,68.0,32,69,32
One on One,PG,1,"Comedy, Drama","[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",98.0,1977-06-28,Fresh,88.0,3,7,1
One,NR,5,"Drama, Horror, Mystery & Suspense, Science Fiction & Fantasy","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0]",88.0,2000-10-13,Fresh,65.0,5,11,6
One & Two,NR,5,"Drama, Mystery & Suspense","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",90.0,2015-08-14,Rotten,44.0,7,7,9
One Bad Cat: The Reverend Albert Wagner Story,NR,5,"Documentary, Musical & Performing Arts","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",81.0,2008-01-24,Fresh,67.0,4,4,2
One Crazy Summer,PG,1,"Comedy, Romance","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",93.0,1986-08-08,Rotten,59.0,2,10,7
"One Cut, One Life",NR,5,Documentary,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",107.0,2015-05-13,Fresh,100.0,5,11,0
One Day,PG-13,2,"Comedy, Drama, Romance","[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",108.0,2011-08-19,Rotten,36.0,44,52,93
One Eight Seven,R,3,Drama,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",119.0,1997-07-30,Rotten,30.0,5,8,19
One-Eyed Jacks,PG-13,2,"Action & Adventure, Drama, Western","[1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",141.0,1961-01-01,Rotten,56.0,1,9,7
One Fall,PG-13,2,"Drama, Science Fiction & Fantasy","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",90.0,2011-09-09,Rotten,10.0,4,1,9
One False Move,R,3,"Action & Adventure, Drama, Mystery & Suspense","[1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",107.0,1992-06-01,Certified-Fresh,94.0,15,48,3
One Flew Over the Cuckoo's Nest,R,3,"Classics, Drama","[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",133.0,1975-11-19,Certified-Fresh,94.0,14,75,5
One for the Money,PG-13,2,"Comedy, Drama, Mystery & Suspense","[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",91.0,2012-01-27,Rotten,2.0,16,1,54
One From the Heart,R,3,"Comedy, Drama, Musical & Performing Arts, Romance","[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0]",100.0,1982-02-12,Rotten,52.0,12,17,16
One Good Cop,R,3,"Action & Adventure, Drama, Mystery & Suspense","[1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",105.0,1991-05-03,Rotten,15.0,3,2,11
One Hour Photo,R,3,"Drama, Mystery & Suspense","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",95.0,2002-08-21,Certified-Fresh,82.0,44,163,37
One Last Night,NR,5,Comedy,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",77.0,2019-08-16,Fresh,60.0,2,3,2
One Last Thing,R,3,"Comedy, Drama","[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",96.0,2006-05-05,Rotten,11.0,4,1,8
One Lucky Elephant,NR,5,"Documentary, Special Interest","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",84.0,2011-06-08,Fresh,96.0,11,26,1
One Magic Christmas,G,0,"Art House & International, Drama, Kids & Family, Science Fiction & Fantasy","[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]",88.0,1985-11-22,Rotten,47.0,4,8,9
One Man's Hero,R,3,"Action & Adventure, Drama","[1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",121.0,1999-09-24,Rotten,38.0,1,3,5
One Missed Call,PG-13,2,"Horror, Mystery & Suspense","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0]",87.0,2008-01-04,Rotten,0.0,18,0,81
One Missed Call,R,3,"Art House & International, Horror","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",111.0,2003-11-03,Rotten,44.0,8,12,15
One More Time (When I Live My Life Over Again),NR,5,"Comedy, Drama, Musical & Performing Arts","[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",98.0,2016-04-08,Rotten,53.0,12,16,14
One October,NR,5,Documentary,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",56.0,2018-05-11,Fresh,100.0,3,5,0
One Small Hitch,PG-13,2,"Comedy, Romance","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",104.0,2015-02-06,Rotten,17.0,1,1,5
One Track Heart: The Story of Krishna Das,NR,5,"Documentary, Musical & Performing Arts, Special Interest","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]",74.0,2013-05-08,Fresh,67.0,9,10,5
One True Thing,R,3,Drama,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",127.0,1998-09-18,Certified-Fresh,89.0,20,54,7
One Week and a Day (Shavua ve Yom),NR,5,"Art House & International, Drama","[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",98.0,2017-04-28,Fresh,90.0,10,26,3
Ong Bak 3,R,3,"Action & Adventure, Art House & International, Drama","[1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",94.0,2011-01-14,Rotten,50.0,2,4,4
Ong-Bak (Ong Bak: Muay Thai Warrior),R,3,"Action & Adventure, Art House & International, Drama","[1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",107.0,2005-02-11,Certified-Fresh,85.0,26,92,16
Only,NR,5,"Drama, Science Fiction & Fantasy","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",98.0,2020-03-06,Rotten,40.0,4,8,12
Only Angels Have Wings,NR,5,"Action & Adventure, Classics, Drama, Romance","[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",121.0,1939-05-15,Fresh,100.0,8,28,0
Only God Forgives,R,3,"Action & Adventure, Art House & International, Drama","[1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",90.0,2013-07-19,Rotten,41.0,43,68,97
Only Human (Seres queridos),R,3,"Art House & International, Comedy, Television, Romance","[0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0]",89.0,2006-06-16,Fresh,72.0,23,38,15
Only Lovers Left Alive,R,3,Drama,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",122.0,2014-04-11,Certified-Fresh,85.0,51,172,30
Only the Brave,PG-13,2,"Action & Adventure, Drama","[1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",134.0,2017-10-20,Certified-Fresh,87.0,39,142,21
Only the Strong Survive,PG-13,2,"Documentary, Musical & Performing Arts","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",101.0,2003-05-09,Fresh,60.0,22,27,18
Only The Young,NR,5,"Documentary, Special Interest","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",68.0,2012-12-07,Fresh,80.0,9,12,3
Onward,PG,1,"Action & Adventure, Animation, Kids & Family, Science Fiction & Fantasy","[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]",103.0,2020-03-06,Certified-Fresh,88.0,40,285,39
Opal Dream,PG,1,"Drama, Kids & Family","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",85.0,2006-11-22,Fresh,69.0,13,24,11
Open City,NR,5,"Art House & International, Drama","[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",105.0,1946-02-25,Certified-Fresh,100.0,15,45,0
Open Grave,R,3,Horror,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",102.0,2014-01-03,Rotten,18.0,3,3,14
Open Range,R,3,"Action & Adventure, Drama, Western","[1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",138.0,2003-08-15,Certified-Fresh,79.0,42,146,38
The Open Road,PG-13,2,"Comedy, Drama","[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",90.0,2009-08-28,Rotten,29.0,4,2,5
Open Season,PG,1,"Action & Adventure, Animation, Comedy","[1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",87.0,2006-09-29,Rotten,48.0,30,48,53
Open Water,R,3,"Art House & International, Drama, Horror, Mystery & Suspense","[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0]",79.0,2004-08-20,Fresh,71.0,41,140,56
Open Water 2: Adrift,R,3,"Horror, Mystery & Suspense","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0]",95.0,2007-02-20,Rotten,45.0,0,5,6
Open Water 3: Cage Dive,R,3,"Drama, Horror","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",80.0,2017-08-11,Rotten,25.0,0,2,6
Open Windows,NR,5,Mystery & Suspense,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",100.0,2014-11-07,Rotten,42.0,6,18,25
Open Your Eyes (Abre los Ojos),R,3,"Art House & International, Drama, Horror, Mystery & Suspense","[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0]",117.0,1999-04-16,Certified-Fresh,85.0,11,40,7
Opening Night,PG-13,2,Drama,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",144.0,1977-12-22,Fresh,96.0,12,26,1
Armour of God (Long xiong hu di) (Operation Condor 2),R,3,"Action & Adventure, Art House & International, Comedy","[1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",89.0,1987-01-21,Fresh,70.0,0,7,3
Operation Avalanche,R,3,"Drama, Mystery & Suspense","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",94.0,2016-09-16,Fresh,69.0,18,42,19
Operation Chromite,NR,5,Drama,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",115.0,2016-08-12,Rotten,40.0,7,8,12
Operation Condor (Fei ying gai wak) (Armour of God II),PG-13,2,"Action & Adventure, Art House & International, Comedy","[1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",88.0,1991-02-07,Fresh,71.0,15,25,10
Operation Crossbow,PG-13,2,"Action & Adventure, Art House & International, Classics, Drama, Mystery & Suspense","[1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",116.0,1965-01-01,Fresh,71.0,0,5,2
Operation Dumbo Drop,PG,1,"Comedy, Kids & Family","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",107.0,1995-07-28,Rotten,31.0,4,8,18
Operation: Endgame (Rogue's Gallery),R,3,"Action & Adventure, Comedy, Drama","[1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",82.0,2010-07-16,Rotten,40.0,3,2,3
Operation Finale,PG-13,2,Drama,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",122.0,2018-08-29,Fresh,60.0,31,80,53
Operation Mekong,NR,5,"Action & Adventure, Drama","[1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",124.0,2016-09-30,Fresh,80.0,2,8,2
Operation Petticoat,NR,5,"Classics, Comedy, Romance","[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",124.0,1959-01-01,Fresh,81.0,3,17,4
Operation Red Sea,NR,5,Action & Adventure,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",139.0,2018-02-23,Fresh,80.0,2,8,2
Operator,NR,5,"Comedy, Drama","[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",87.0,2016-11-08,Fresh,100.0,2,6,0
Ophelia,PG-13,2,Drama,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",114.0,2019-06-28,Fresh,60.0,24,78,52
Opportunity Knocks,PG-13,2,"Comedy, Romance","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",101.0,1990-03-30,Rotten,13.0,2,1,7
The Opposite of Sex,R,3,Comedy,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",105.0,1998-05-29,Certified-Fresh,80.0,8,33,8
The Opposite Sex,NR,5,"Classics, Comedy, Musical & Performing Arts, Romance","[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0]",117.0,1956-10-26,Rotten,20.0,1,1,4
The Opposite Sex And How To Live With Them,R,3,"Comedy, Drama, Romance","[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",86.0,1993-06-01,Rotten,8.0,5,1,12
Or (My Treasure),NR,5,"Art House & International, Drama","[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",100.0,2007-01-11,Fresh,74.0,10,20,7
Orange County,PG-13,2,Comedy,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",81.0,2002-01-11,Rotten,46.0,33,56,65
Oranges And Sunshine,R,3,"Art House & International, Drama","[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",105.0,2011-10-21,Fresh,69.0,26,50,22
Orca - The Killer Whale,PG,1,"Action & Adventure, Drama, Horror, Mystery & Suspense","[1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0]",92.0,1977-07-15,Rotten,9.0,7,3,29
Orchestra Of Exiles,NR,5,"Documentary, Musical & Performing Arts, Special Interest","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]",85.0,2012-10-26,Fresh,80.0,7,8,2
Orchestra Rehearsal (Prova d'orchestra),R,3,"Art House & International, Drama, Musical & Performing Arts, Special Interest","[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]",72.0,1979-01-01,Fresh,88.0,2,7,1
Ordinary Decent Criminal,R,3,"Drama, Mystery & Suspense","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",90.0,2000-01-07,Rotten,14.0,0,1,6
Ordinary People,R,3,Drama,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",123.0,1980-09-19,Certified-Fresh,89.0,11,48,6
Ordinary World,NR,5,"Comedy, Drama, Musical & Performing Arts","[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",86.0,2016-10-14,Rotten,47.0,5,8,9
The Organization,PG,1,"Action & Adventure, Drama, Mystery & Suspense","[1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",107.0,1971-10-20,Rotten,40.0,2,2,3
"Orgasm, Inc.",NR,5,"Documentary, Special Interest","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",73.0,2011-02-11,Fresh,86.0,10,19,3
Orgazmo,NC17,4,"Comedy, Science Fiction & Fantasy","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",90.0,1998-10-23,Rotten,48.0,7,16,17
Orgy of the Dead,NR,5,"Classics, Horror","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",90.0,1965-06-01,Rotten,0.0,0,0,6
Orhim le-rega (Off-White Lies),R,3,"Art House & International, Drama","[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",86.0,2012-12-07,Rotten,43.0,4,3,4
Original Gangstas,R,3,"Action & Adventure, Cult Movies, Drama, Mystery & Suspense","[1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",98.0,1996-05-10,Rotten,53.0,6,8,7
The Original Kings of Comedy,R,3,"Comedy, Documentary","[0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",115.0,2000-08-18,Certified-Fresh,83.0,38,85,18
Original Sin,R,3,"Drama, Mystery & Suspense","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",112.0,2001-08-03,Rotten,12.0,30,11,80
Ôritsu uchûgun Oneamisu no tsubasa (Royal Space Force - Wings of Honneamise),NR,5,"Animation, Anime & Manga, Drama, Science Fiction & Fantasy","[0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",124.0,1987-06-01,Fresh,100.0,3,9,0
Orlando,PG-13,2,"Drama, Science Fiction & Fantasy, Romance","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]",93.0,1993-06-09,Certified-Fresh,84.0,20,49,9
Ornette: Made in America,NR,5,Documentary,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",90.0,2012-08-31,Fresh,89.0,10,17,2
Orphans of the Storm,NR,5,Drama,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",125.0,1921-12-28,Fresh,92.0,4,12,1
Orwell Rolls in His Grave,NR,5,"Documentary, Special Interest","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",84.0,2003-10-23,Fresh,79.0,9,19,5
Osama,PG-13,2,"Art House & International, Drama","[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",82.0,2004-02-06,Certified-Fresh,96.0,37,98,4
Oscar and Lucinda,R,3,"Art House & International, Drama, Romance","[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",132.0,1997-12-31,Fresh,66.0,8,21,11
"Oslo, August 31st",NR,5,"Art House & International, Drama","[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",95.0,2012-05-25,Certified-Fresh,97.0,33,68,2
Osmosis Jones,PG,1,Comedy,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",98.0,2001-08-10,Rotten,55.0,33,61,49
OSS 117: Rio ne répond plus (Lost in Rio),NR,5,"Action & Adventure, Art House & International, Comedy, Mystery & Suspense","[1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",101.0,2010-05-07,Certified-Fresh,75.0,22,39,13
The Osterman Weekend,R,3,"Action & Adventure, Drama, Mystery & Suspense","[1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",103.0,1983-10-21,Rotten,39.0,4,7,11
OT: Our Town,R,3,"Documentary, Musical & Performing Arts, Special Interest","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]",77.0,2003-01-14,Fresh,88.0,7,22,3
The Other Boleyn Girl,PG-13,2,"Drama, Romance","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",115.0,2008-02-29,Rotten,43.0,43,63,83
The Other End of the Line,PG-13,2,Romance,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",106.0,2008-10-31,Rotten,35.0,11,7,13
The Other Guys,PG-13,2,"Action & Adventure, Comedy","[1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",107.0,2010-08-06,Certified-Fresh,78.0,46,161,46
Other People's Money,R,3,Comedy,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",101.0,1991-10-18,Rotten,31.0,3,5,11
The Other Sister,PG-13,2,"Comedy, Drama","[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",129.0,1999-02-26,Rotten,29.0,14,14,35
Otherhood,R,3,"Comedy, Drama","[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",100.0,2019-08-02,Rotten,23.0,7,6,20
Ouija,PG-13,2,"Action & Adventure, Horror, Mystery & Suspense","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0]",85.0,2014-10-24,Rotten,6.0,24,5,83
